company,old,title,link,salary,netgross,city
UAB „BALTIC VIRTUAL ASSISTANTS“,prieš 2 d.,Content Analyst (hybrid),https://www.cvbankas.lt/content-analyst-hybrid-vilniuje/1-8955988,1200-1600,Neatskaičius mokesčių,Vilniuje
UAB „BALTIC VIRTUAL ASSISTANTS“,prieš 2 d.,Business Development Executive,https://www.cvbankas.lt/business-development-executive-vilniuje/1-8955986,1950-2650,Neatskaičius mokesčių,Vilniuje
UAB „Digitouch!“,prieš 3 d.,ERP SISTEMOS PROJEKTŲ VADOVAS (-Ė),https://www.cvbankas.lt/erp-sistemos-projektu-vadovas-e-vilniuje/1-9087791,1200-1600,Į rankas,Vilniuje
AS „Citadele banka“ Lietuvos filialas,prieš 3 d.,Java Developer,https://www.cvbankas.lt/java-developer-vilniuje/1-7619881,2800-5000,Neatskaičius mokesčių,Vilniuje
SEB,prieš 3 d.,Coordinator in Digital Workplace at SEB in Vilnius,https://www.cvbankas.lt/coordinator-in-digital-workplace-at-seb-in-vilnius-vilniuje/1-8825976,2000-3000,Neatskaičius mokesčių,Vilniuje
UAB „OpSec Online“,prieš 4 d.,Operations Support Specialist,https://www.cvbankas.lt/operations-support-specialist-vilniuje/1-9081425,1000-1525,Į rankas,Vilniuje
Telia,prieš 4 d.,Business Data Analyst,https://www.cvbankas.lt/business-data-analyst-vilniuje/1-8764224,,,Vilniuje
UAB „Manpower Lit“,prieš 5 d.,Senior Business Data Analyst & Project Manager,https://www.cvbankas.lt/senior-business-data-analyst-project-manager-vilniuje/1-9080459,3500-5000,Neatskaičius mokesčių,Vilniuje
UAB „HEGELMANN TRANSPORTE“,prieš 5 d.,DATA PROTECTION OFFICER,https://www.cvbankas.lt/data-protection-officer-kaune/1-9080255,1500-2000,Į rankas,Kaune
AB „Novaturas“,prieš 5 d.,PHP PROGRAMMER,https://www.cvbankas.lt/php-programmer-kaune/1-8948100,1575-5000,Neatskaičius mokesčių,Kaune
VšĮ Lietuvos nacionalinis radijas ir televizija,prieš 5 d.,IT sistemų administratorius (-ė),https://www.cvbankas.lt/it-sistemu-administratorius-e-vilniuje/1-8908974,1900-2600,Neatskaičius mokesčių,Vilniuje
UAB „LITHUTEC“,prieš 5 d.,IT specialistas,https://www.cvbankas.lt/it-specialistas-klaipedoje/1-9079897,Nuo 800,Į rankas,Klaipėdoje
UAB Emplonet,prieš 5 d.,PROGRAMUOTOJAS (-A),https://www.cvbankas.lt/programuotojas-a-kaune/1-8981418,1500-2000,Į rankas,Kaune
UAB Emplonet,prieš 5 d.,IT SPECIALISTAS (-Ė),https://www.cvbankas.lt/it-specialistas-e-vilniuje/1-8982912,2100-2200,Neatskaičius mokesčių,Vilniuje
„TELTONIKA IoT GROUP“,prieš 5 d.,TESTAVIMO INŽINIERIUS (-Ė),https://www.cvbankas.lt/testavimo-inzinierius-e-vilniuje/1-9079591,9-15,Neatskaičius mokesčių,Vilniuje
UAB „Palink“,prieš 5 d.,Supply Chain Data Analyst,https://www.cvbankas.lt/supply-chain-data-analyst-vilniuje/1-9079443,2000-2800,Neatskaičius mokesčių,Vilniuje
UAB „OpSec Online“,prieš 5 d.,Data Analyst,https://www.cvbankas.lt/data-analyst-vilniuje/1-8942376,1250-1666,Neatskaičius mokesčių,Vilniuje
Valstybinio socialinio draudimo fondo valdyba prie Socialinės apsaugos ir darbo ministerijos,prieš 5 d.,IT specialistas kompiuterizuotų darbo vietų priežiūrai Šiauliuose.,https://www.cvbankas.lt/it-specialistas-kompiuterizuotu-darbo-vietu-prieziurai-siauliuose-siauliuose/1-9079225,1400-1600,Neatskaičius mokesčių,Šiauliuose
UAB „HOSTINGER“,prieš 5 d.,Senior Data Analyst,https://www.cvbankas.lt/senior-data-analyst-darbas-namuose/1-7115143,3300,Neatskaičius mokesčių,Darbas namuose
Girteka įmonių grupė,prieš 5 d.,"Mid / Senior Software Engineer (PHP, React.js)",https://www.cvbankas.lt/mid-senior-software-engineer-php-react-js-vilniuje/1-9079121,,,Vilniuje
UAB „OpSec Online“,prieš 5 d.,Brand Analyst (Data Analysis and Protection) - Prekės Ženklo Analitikas (-ė),https://www.cvbankas.lt/brand-analyst-data-analysis-and-protection-prekes-zenklo-analitikas-e-vilniuje/1-8956954,915-1051,Į rankas,Vilniuje
UAB „OpSec Online“,prieš 5 d.,Duomenų Analitikas,https://www.cvbankas.lt/duomenu-analitikas-vilniuje/1-8947306,1250-1666,Neatskaičius mokesčių,Vilniuje
UAB „Saulės sprendimai“,prieš 5 d.,QA SPECIALIST,https://www.cvbankas.lt/qa-specialist-vilniuje/1-7705303,Nuo 3300,Neatskaičius mokesčių,Vilniuje
Telia,prieš 5 d.,Product Owner,https://www.cvbankas.lt/product-owner-uzsienyje/1-9078707,,,Estijoje
UAB „EIS Group Lietuva“,prieš 5 d.,Lead Frontend Developer,https://www.cvbankas.lt/lead-frontend-developer-vilniuje/1-9078551,4000-7500,Neatskaičius mokesčių,Vilniuje
UAB „FESTO“,prieš 5 d.,RPA Developer,https://www.cvbankas.lt/rpa-developer-kaune/1-9078465,Nuo 2000,Neatskaičius mokesčių,Kaune
UAB „EIS Group Lietuva“,prieš 5 d.,Infrastructure Security Engineer,https://www.cvbankas.lt/infrastructure-security-engineer-vilniuje/1-9078421,2300-5500,Neatskaičius mokesčių,Vilniuje
Luminor Bank AS Lietuvos skyrius,prieš 5 d.,Expert in Daily Banking Processing Unit,https://www.cvbankas.lt/expert-in-daily-banking-processing-unit-vilniuje/1-9078381,1290-1650,Neatskaičius mokesčių,Vilniuje
UAB „Littelfuse LT“,prieš 5 d.,IT SECURITY INTERN,https://www.cvbankas.lt/it-security-intern-darbas-namuose/1-8639076,Nuo 830,Neatskaičius mokesčių,Darbas namuose
Oxylabs,prieš 5 d.,PHP Developer,https://www.cvbankas.lt/php-developer-vilniuje/1-7650773,1650-4500,Neatskaičius mokesčių,Vilniuje
SEB,,Senior MS SQL Solution Developer in Financial Steering Solutions at SEB in Vilnius,https://www.cvbankas.lt/senior-ms-sql-solution-developer-in-financial-steering-solutions-at-seb-in-vilnius-vilniuje/1-8943256,2300-4700,Neatskaičius mokesčių,Vilniuje
SEB,,Site Reliability Engineer in Data & Analytics at SEB in Vilnius,https://www.cvbankas.lt/site-reliability-engineer-in-data-analytics-at-seb-in-vilnius-vilniuje/1-8942798,1900-4800,Neatskaičius mokesčių,Vilniuje
SEB,,Full-Stack solution developer in Outgoing payment team at SEB in Vilnius,https://www.cvbankas.lt/full-stack-solution-developer-in-outgoing-payment-team-at-seb-in-vilnius-vilniuje/1-8678208,2400-4450,Neatskaičius mokesčių,Vilniuje
UAB „Kesko Senukai Lithuania“,prieš 6 d.,IT ANALITIKAS (-Ė) KARJEROS STARTO POZICIJA!,https://www.cvbankas.lt/it-analitikas-e-karjeros-starto-pozicija-kaune/1-9075685,Nuo 1400,Neatskaičius mokesčių,Kaune
SEB,prieš 6 d.,Frontend Developer in Web Team at SEB,https://www.cvbankas.lt/frontend-developer-in-web-team-at-seb-vilniuje/1-9075691,2300-3500,Neatskaičius mokesčių,Vilniuje
UAB „PZU Lietuva gyvybės draudimas“,prieš 6 d.,Pardavimų palaikymo specialistas (sistemos administravimui),https://www.cvbankas.lt/pardavimu-palaikymo-specialistas-sistemos-administravimui-vilniuje/1-9075605,1500-1800,Neatskaičius mokesčių,Vilniuje
RETAL GROUP,prieš 6 d.,IT Purchase Specialist,https://www.cvbankas.lt/it-purchase-specialist-vilniuje/1-9075259,2500-2700,Neatskaičius mokesčių,Vilniuje
"Aljansas AIBĖ, UAB",prieš 6 d.,IT APTARNAVIMO SPECIALISTAS (-Ė),https://www.cvbankas.lt/it-aptarnavimo-specialistas-e-kaune/1-9074971,Nuo 2100,Neatskaičius mokesčių,Kaune
UAB „Adeo Web“,prieš 6 d.,PHP Symfony programuotojas (-a),https://www.cvbankas.lt/php-symfony-programuotojas-a-darbas-namuose/1-9074989,1500-2000,Į rankas,Darbas namuose
Įmonės pavadinimas paslėptas,prieš 6 d.,IT engineer,https://www.cvbankas.lt/it-engineer-vilniuje/1-8034647,1600-2700,Neatskaičius mokesčių,Vilniuje
UAB „EIS Group Lietuva“,prieš 6 d.,"IT administrator, WW Services",https://www.cvbankas.lt/it-administrator-ww-services-vilniuje/1-8938598,1500-3000,Neatskaičius mokesčių,Vilniuje
SEB,prieš 6 d.,IT Analyst in Corporate functions at SEB in Vilnius,https://www.cvbankas.lt/it-analyst-in-corporate-functions-at-seb-in-vilnius-vilniuje/1-9074793,2300-4700,Neatskaičius mokesčių,Vilniuje
UAB „Transcom Worldwide Vilnius“,prieš 6 d.,Duomenų analitikas (-ė) (darbas iš namų),https://www.cvbankas.lt/duomenu-analitikas-e-darbas-is-namu-klaipedoje/1-9074391,1096-1225,Neatskaičius mokesčių,Klaipėdoje
UAB „R and R Technology“,prieš 6 d.,Technical Project Manager - Robotics,https://www.cvbankas.lt/technical-project-manager-robotics-vilniuje/1-9074031,3000-6000,Neatskaičius mokesčių,Vilniuje
UAB „Aardvark Technologies“,prieš 6 d.,Finance Associate - Financier,https://www.cvbankas.lt/finance-associate-financier-vilniuje/1-8912988,2454-3140,Neatskaičius mokesčių,Vilniuje
Oxylabs,prieš 6 d.,Business Development Representative,https://www.cvbankas.lt/business-development-representative-vilniuje/1-9074149,,,Vilniuje
UAB „Mijora“,,Ruby developer,https://www.cvbankas.lt/ruby-developer-kaune/1-9073811,1800-5000,Neatskaičius mokesčių,Kaune
AB „VILKYŠKIŲ PIENINĖ“,prieš 6 d.,MS Navision programuotojas (-a) (Tauragėje),https://www.cvbankas.lt/ms-navision-programuotojas-a-taurageje-kaune/1-8612130,3300-4100,Neatskaičius mokesčių,Kaune
ERGO,prieš 6 d.,Mid-level or senior full stack Developer,https://www.cvbankas.lt/mid-level-or-senior-full-stack-developer-vilniuje/1-8609238,Nuo 3000,Neatskaičius mokesčių,Vilniuje
UAB „Soho Dragon LT“,prieš 6 d.,Data Engineer,https://www.cvbankas.lt/data-engineer-vilniuje/1-9073629,4950-8200,Neatskaičius mokesčių,Vilniuje
AB „LIETUVOS DRAUDIMAS“,prieš 6 d.,Jaunesnysis draudimo konsultantas Utenoje,https://www.cvbankas.lt/jaunesnysis-draudimo-konsultantas-utenoje-utenoje/1-9007400,743-1100,Neatskaičius mokesčių,Utenoje
UAB „NFQ Technologies“,prieš 6 d.,Junior Software Engineer (PHP),https://www.cvbankas.lt/junior-software-engineer-php-vilniuje/1-9073447,1440-2670,Neatskaičius mokesčių,Vilniuje
UAB „HOSTINGER“,prieš 6 d.,QA Engineer,https://www.cvbankas.lt/qa-engineer-darbas-namuose/1-7118653,2200,Neatskaičius mokesčių,Darbas namuose
UAB „ECOCOST“,prieš 7 d.,Sistemų administratorius,https://www.cvbankas.lt/sistemu-administratorius-vilniuje/1-9071321,1500-2400,Neatskaičius mokesčių,Vilniuje
"GP Transco LT, UAB",prieš 7 d.,Paid internship for IT students,https://www.cvbankas.lt/paid-internship-for-it-students-vilniuje/1-9070795,750-800,Neatskaičius mokesčių,Vilniuje
UAB „Transimeksa“,prieš 7 d.,IT SISTEMŲ ADMINISTRATORIUS (-Ė),https://www.cvbankas.lt/it-sistemu-administratorius-e-vilniuje/1-9070411,2631-3306,Neatskaičius mokesčių,Vilniuje
UAB „iGeolise LT“,prieš 7 d.,Data Collector,https://www.cvbankas.lt/data-collector-kaune/1-9051669,950-1150,Į rankas,Kaune
UAB „Vilniaus vandenys“,prieš 7 d.,IT TINKLŲ ADMINISTRATORIUS (-Ė),https://www.cvbankas.lt/it-tinklu-administratorius-e-vilniuje/1-8826868,Nuo 2450,Neatskaičius mokesčių,Vilniuje
UAB „Palink“,prieš 7 d.,Product Owner,https://www.cvbankas.lt/product-owner-elektrenuose/1-9070305,2000-3500,Neatskaičius mokesčių,Elektrėnuose
UAB „Bauwerk Group Lietuva“,prieš 7 d.,Power Apps - SharePoint online specialistas (-ė),https://www.cvbankas.lt/power-apps-sharepoint-online-specialistas-e-elektrenuose/1-8867176,Nuo 2300,Neatskaičius mokesčių,Elektrėnuose
UAB „Bauwerk Group Lietuva“,prieš 7 d.,IT inžinierius (-ė),https://www.cvbankas.lt/it-inzinierius-e-vilniuje/1-8912786,Nuo 2300,Neatskaičius mokesčių,Vilniuje
UAB „Cherry TEAM“,,Front-End Programuotojas,https://www.cvbankas.lt/front-end-programuotojas-klaipedoje/1-9070107,2000,Neatskaičius mokesčių,Klaipėdoje
ATEA grupė,prieš 7 d.,Tapatybių ir prieigos valdymo sprendimų architektas (-ė),https://www.cvbankas.lt/tapatybiu-ir-prieigos-valdymo-sprendimu-architektas-e-vilniuje/1-8644970,2500-3500,Į rankas,Vilniuje
UAB „Saulės sprendimai“,prieš 7 d.,IT Administrator (Junior),https://www.cvbankas.lt/it-administrator-junior-vilniuje/1-9070055,Nuo 750,Į rankas,Vilniuje
"Registrų Centras, VĮ",prieš 7 d.,VYRIAUSIASIS (-IOJI) SISTEMŲ ADMINISTRATORIUS (-Ė) (IS aplikacijų priežiūros skyriuje),https://www.cvbankas.lt/vyriausiasis-ioji-sistemu-administratorius-e-is-aplikaciju-prieziuros-skyriuje-vilniuje/1-9070069,2440-3660,Neatskaičius mokesčių,Vilniuje
UAB Emplonet,prieš 7 d.,DUOMENŲ ANALITIKAS (-Ė),https://www.cvbankas.lt/duomenu-analitikas-e-kaune/1-8469445,1586-2975,Neatskaičius mokesčių,Kaune
Avia Solutions Group PLC,,Senior React Developer/Lead,https://www.cvbankas.lt/senior-react-developer-lead-vilniuje/1-9069723,4700-7000,Neatskaičius mokesčių,Vilniuje
UAB „Torus Solutions“,,Verslo valdymo sistemos konsultantas (-ė),https://www.cvbankas.lt/verslo-valdymo-sistemos-konsultantas-e-vilniuje/1-9069547,2000,Neatskaičius mokesčių,Vilniuje
Revel Systems,prieš 7 d.,Remote Technical Client Support Specialist,https://www.cvbankas.lt/remote-technical-client-support-specialist-darbas-namuose/1-7709549,1550-1800,Neatskaičius mokesčių,Darbas namuose
Revel Systems,prieš 7 d.,Technical Client Support Specialist,https://www.cvbankas.lt/technical-client-support-specialist-vilniuje/1-4295827,1550-1800,Neatskaičius mokesčių,Vilniuje
UAB „Littelfuse LT“,prieš 7 d.,LEAN ANALYST INTERN,https://www.cvbankas.lt/lean-analyst-intern-darbas-namuose/1-9069305,Nuo 830,Neatskaičius mokesčių,Darbas namuose
Ignitis grupė,prieš 7 d.,PRAKTIKANTAS (-Ė) IT TURTO LICENCIJŲ VALDYMO KOMANDOJE,https://www.cvbankas.lt/praktikantas-e-it-turto-licenciju-valdymo-komandoje-vilniuje/1-9069149,,,Vilniuje
Gi Group Lietuva,prieš 7 d.,IT TECHNINĖS PAGALBOS INŽINIERIUS (-Ė)  (IT Service Desk Engineer),https://www.cvbankas.lt/it-technines-pagalbos-inzinierius-e-it-service-desk-engineer-klaipedoje/1-9069135,Nuo 2800,Neatskaičius mokesčių,Klaipėdoje
UAB „EPS LT“,prieš 7 d.,IT INFRASTRUCTURE ADMINISTRATOR,https://www.cvbankas.lt/it-infrastructure-administrator-vilniuje/1-9068899,2500-3700,Neatskaičius mokesčių,Vilniuje
UAB „Transtira“,prieš 7 d.,IT technikas (-ė),https://www.cvbankas.lt/it-technikas-e-vilniuje/1-9068949,1290-1575,Neatskaičius mokesčių,Vilniuje
AB „Kauno grūdai“,prieš 7 d.,IT administratorius (-ė),https://www.cvbankas.lt/it-administratorius-e-kaune/1-9068535,1500-1600,Į rankas,Kaune
"Pastatų administravimo, priežiūros ir inžinerinių sprendimų įmonių grupė",prieš 7 d.,IT projektų vadovas (-ė),https://www.cvbankas.lt/it-projektu-vadovas-e-vilniuje/1-9068699,2980-4630,Neatskaičius mokesčių,Vilniuje
UAB „Estina LT“,prieš 7 d.,Back-end Software Engineer (PHP),https://www.cvbankas.lt/back-end-software-engineer-php-vilniuje/1-5965171,3300-5000,Neatskaičius mokesčių,Vilniuje
UAB „SME Finance“,prieš 7 d.,Chief Technology Officer,https://www.cvbankas.lt/chief-technology-officer-vilniuje/1-9068429,Nuo 5000,Neatskaičius mokesčių,Vilniuje
UAB „Bitė Lietuva“,prieš 7 d.,Monitoringo specialistė (-as) (galimybė derinti su studijomis),https://www.cvbankas.lt/monitoringo-specialiste-as-galimybe-derinti-su-studijomis-vilniuje/1-8703894,750-1400,Neatskaičius mokesčių,Vilniuje
UAB „Bitė Lietuva“,prieš 7 d.,BITĖS profė (-as) Vilniuje,https://www.cvbankas.lt/bites-profe-as-vilniuje-vilniuje/1-7625049,1500-1700,Neatskaičius mokesčių,Vilniuje
SEB,,PL/SQL Developer in Financial Control & Reporting Tribe,https://www.cvbankas.lt/pl-sql-developer-in-financial-control-reporting-tribe-vilniuje/1-8157445,2300-4700,Neatskaičius mokesčių,Vilniuje
SEB,prieš 7 d.,Network Engineer in Infrastructure and Security Unit at SEB in Vilnius,https://www.cvbankas.lt/network-engineer-in-infrastructure-and-security-unit-at-seb-in-vilnius-vilniuje/1-8758388,2000-3000,Neatskaičius mokesčių,Vilniuje
SEB,prieš 7 d.,"Java Full Stack Developer in Analytics & Reporting Team, SEB Technology",https://www.cvbankas.lt/java-full-stack-developer-in-analytics-reporting-team-seb-technology-vilniuje/1-8156029,2400-4550,Neatskaičius mokesčių,Vilniuje
SEB,,"Java Developer in Customer Lifecycle Managment team, SEB Technology in Vilnius",https://www.cvbankas.lt/java-developer-in-customer-lifecycle-managment-team-seb-technology-in-vilnius-vilniuje/1-8156027,3100-4700,Neatskaičius mokesčių,Vilniuje
UAB „COWI Lietuva“,prieš 8 d.,DATA SCIENCE ACADEMY,https://www.cvbankas.lt/data-science-academy-vilniuje/1-9065623,1700-2500,Neatskaičius mokesčių,Vilniuje
Citco Group of Companies,prieš 8 d.,Junior Reconciliation Analyst,https://www.cvbankas.lt/junior-reconciliation-analyst-vilniuje/1-6735995,1300-1450,Neatskaičius mokesčių,Vilniuje
UAB „Biuro“,prieš 8 d.,TECHNICAL SUPPORT SPECIALIST,https://www.cvbankas.lt/technical-support-specialist-vilniuje/1-9065443,1500,Neatskaičius mokesčių,Vilniuje
UAB „SME Finance“,prieš 8 d.,Head of Engineering,https://www.cvbankas.lt/head-of-engineering-vilniuje/1-8764256,4000-10000,Neatskaičius mokesčių,Vilniuje
„Vičiūnų“ įmonių grupė,prieš 8 d.,IT SISTEMŲ ADMINISTRATORIUS (-Ė),https://www.cvbankas.lt/it-sistemu-administratorius-e-klaipedoje/1-8937692,Nuo 2994,Neatskaičius mokesčių,Klaipėdoje
UAB „EPS LT“,prieš 8 d.,IT PROJECT MANAGER,https://www.cvbankas.lt/it-project-manager-vilniuje/1-9064913,2000-3000,Neatskaičius mokesčių,Vilniuje
UAB „Cognizant Technology Solutions Lithuania“,prieš 8 d.,RPA Developer,https://www.cvbankas.lt/rpa-developer-vilniuje/1-8638756,3050-4850,Neatskaičius mokesčių,Vilniuje
UAB „Cognizant Technology Solutions Lithuania“,prieš 8 d.,.NET and Angular Developers,https://www.cvbankas.lt/net-and-angular-developers-vilniuje/1-8638828,3050-4850,Neatskaičius mokesčių,Vilniuje
UAB „Cognizant Technology Solutions Lithuania“,prieš 8 d.,Full Stack .NET Developers,https://www.cvbankas.lt/full-stack-net-developers-vilniuje/1-8635148,2760-5700,Neatskaičius mokesčių,Vilniuje
UAB „Cognizant Technology Solutions Lithuania“,prieš 8 d.,Java Developer,https://www.cvbankas.lt/java-developer-vilniuje/1-8638552,2100-4700,Neatskaičius mokesčių,Vilniuje
UAB „Cognizant Technology Solutions Lithuania“,prieš 8 d.,Junior Full Stack .NET Developer,https://www.cvbankas.lt/junior-full-stack-net-developer-vilniuje/1-8638648,2100-3380,Neatskaičius mokesčių,Vilniuje
UAB „PVcase“,prieš 8 d.,IT Office Engineer,https://www.cvbankas.lt/it-office-engineer-vilniuje/1-7222501,1000-1500,Į rankas,Vilniuje
UAB „Columbus Lietuva“,prieš 8 d.,Jaunesnysis IT administratorius (-ė),https://www.cvbankas.lt/jaunesnysis-it-administratorius-e-vilniuje/1-8981166,1700-2200,Neatskaičius mokesčių,Vilniuje
UAB „Centric IT Solutions Lithuania“,prieš 8 d.,Mid/Senior Security Engineer,https://www.cvbankas.lt/mid-senior-security-engineer-kaune/1-9051709,3060-4341,Neatskaičius mokesčių,Kaune
Nord Security,prieš 8 d.,Mid-Senior Financial Analyst,https://www.cvbankas.lt/mid-senior-financial-analyst-vilniuje/1-9051875,2150-3600,Neatskaičius mokesčių,Vilniuje
UAB „Recaras“,prieš 8 d.,Test Automation / Manual testing (QA),https://www.cvbankas.lt/test-automation-manual-testing-qa-vilniuje/1-6599775,1600-2500,Neatskaičius mokesčių,Vilniuje
Luminor Bank AS Lietuvos skyrius,prieš 8 d.,Ekspertas (-ė) lizingo operacijų srityje,https://www.cvbankas.lt/ekspertas-e-lizingo-operaciju-srityje-vilniuje/1-9064187,1300-1700,Neatskaičius mokesčių,Vilniuje
UAB „Ltintus“,prieš 8 d.,Full-Stack (PHP) Developer,https://www.cvbankas.lt/full-stack-php-developer-darbas-namuose/1-7221833,2800-4000,Neatskaičius mokesčių,Darbas namuose
UAB „Nexchange solutions“,Liko 3 dienos,Frontend Developer (remote),https://www.cvbankas.lt/frontend-developer-remote-vilniuje/1-9063859,4000-6300,Į rankas,Vilniuje
UAB „TELE2“,prieš 8 d.,IP Network Engineer,https://www.cvbankas.lt/ip-network-engineer-vilniuje/1-8913088,Nuo 2500,Neatskaičius mokesčių,Vilniuje
UAB „TELE2“,prieš 8 d.,Apmokama praktika Tinklo skyriuje,https://www.cvbankas.lt/apmokama-praktika-tinklo-skyriuje-vilniuje/1-8937416,730,Neatskaičius mokesčių,Vilniuje
SEB,Liko 5 dienos,Senior .Net Developer In Institutional Global Custody at SEB in Vilnius,https://www.cvbankas.lt/senior-net-developer-in-institutional-global-custody-at-seb-in-vilnius-vilniuje/1-9063875,3100-4700,Neatskaičius mokesčių,Vilniuje
Lietuvos Respublikos valstybinė darbo inspekcija prie Socialinės apsaugos ir darbo ministerijos,prieš 8 d.,KOMPIUTERIŲ SISTEMŲ ANALITIKAS,https://www.cvbankas.lt/kompiuteriu-sistemu-analitikas-vilniuje/1-9063701,"1737-2063,40",Neatskaičius mokesčių,Vilniuje
UAB „Biuro“,prieš 8 d.,DATA ANALYST,https://www.cvbankas.lt/data-analyst-vilniuje/1-9063699,1241-1355,Į rankas,Vilniuje
UAB „Bitė Lietuva“,prieš 8 d.,BITĖS profė (-as) Plungėje,https://www.cvbankas.lt/bites-profe-as-plungeje-plungeje/1-8893768,1100-1200,Neatskaičius mokesčių,Plungėje
"Registrų Centras, VĮ",prieš 8 d.,IT PROJEKTŲ VADOVAS (-Ė),https://www.cvbankas.lt/it-projektu-vadovas-e-vilniuje/1-9063653,2440-3660,Neatskaičius mokesčių,Vilniuje
UAB „SME Finance“,prieš 8 d.,Accounting Advisor,https://www.cvbankas.lt/accounting-advisor-vilniuje/1-8922282,Nuo 4900,Neatskaičius mokesčių,Vilniuje
ERGO,prieš 8 d.,Junior or mid FULL STACK DEVELOPER,https://www.cvbankas.lt/junior-or-mid-full-stack-developer-vilniuje/1-8509330,Nuo 2077,Neatskaičius mokesčių,Vilniuje
ERGO,prieš 8 d.,IT architect,https://www.cvbankas.lt/it-architect-vilniuje/1-8650758,4500-5000,Neatskaičius mokesčių,Vilniuje
VšĮ LCC tarptautinis universitetas,prieš 8 d.,IT Helpdesk/Academic Support Coordinator,https://www.cvbankas.lt/it-helpdesk-academic-support-coordinator-klaipedoje/1-9063459,Nuo 1500,Neatskaičius mokesčių,Klaipėdoje
MB „Du bitai“,prieš 8 d.,PHP Back-end programuotojas,https://www.cvbankas.lt/php-back-end-programuotojas-klaipedoje/1-9033703,1500-3500,Neatskaičius mokesčių,Klaipėdoje
UAB „SCM Software“,prieš 8 d.,Transporto valdymo sistemos analitikas (-ė),https://www.cvbankas.lt/transporto-valdymo-sistemos-analitikas-e-vilniuje/1-6643259,1300-2500,Į rankas,Vilniuje
UAB „Novian Technologies“,prieš 8 d.,Windows sistemų administratorius,https://www.cvbankas.lt/windows-sistemu-administratorius-vilniuje/1-8257817,Nuo 1500,Į rankas,Vilniuje
UAB Emplonet,prieš 8 d.,MID–SENIOR REACT NATIVE DEVELOPER,https://www.cvbankas.lt/mid-senior-react-native-developer-vilniuje/1-9063297,2700-3800,Į rankas,Vilniuje
UAB Emplonet,prieš 8 d.,MID–SENIOR PHP DEVELOPER,https://www.cvbankas.lt/mid-senior-php-developer-vilniuje/1-9063227,2000-3700,Į rankas,Vilniuje
UAB „Palink“,prieš 8 d.,Vyr. analitikas,https://www.cvbankas.lt/vyr-analitikas-elektrenuose/1-9063093,2500-3500,Neatskaičius mokesčių,Elektrėnuose
AS „Citadele banka“ Lietuvos filialas,prieš 8 d.,Risk Model Analyst,https://www.cvbankas.lt/risk-model-analyst-vilniuje/1-8386315,2000-4000,Neatskaičius mokesčių,Vilniuje
Girteka įmonių grupė,prieš 9 d.,SAP Key User (Finance team),https://www.cvbankas.lt/sap-key-user-finance-team-vilniuje/1-8638974,1790-2240,Neatskaičius mokesčių,Vilniuje
Girteka įmonių grupė,prieš 9 d.,Business Intelligence Developer,https://www.cvbankas.lt/business-intelligence-developer-vilniuje/1-8460845,2800-3800,Neatskaičius mokesčių,Vilniuje
Girteka įmonių grupė,prieš 9 d.,Business Analyst,https://www.cvbankas.lt/business-analyst-vilniuje/1-8268423,2145-3200,Neatskaičius mokesčių,Vilniuje
Ignitis grupė,prieš 10 d.,JUNIOR ETL/DATA DEVELOPER,https://www.cvbankas.lt/junior-etl-data-developer-vilniuje/1-8920594,1675-2920,Neatskaičius mokesčių,Vilniuje
Telia,Liko 4 dienos,Business Analyst,https://www.cvbankas.lt/business-analyst-vilniuje/1-8787976,,,Vilniuje
Girteka įmonių grupė,prieš 10 d.,"Account Manager for Europe Market (ENG, DE)",https://www.cvbankas.lt/account-manager-for-europe-market-eng-de-vilniuje/1-8920746,1790-2240,Neatskaičius mokesčių,Vilniuje
UAB „Cognizant Technology Solutions Lithuania“,prieš 12 d.,IT Operation Support,https://www.cvbankas.lt/it-operation-support-vilniuje/1-9051965,2500-3380,Neatskaičius mokesčių,Vilniuje
UAB „People Link“,prieš 12 d.,Lazerinių sistemų inžinierius (-ė),https://www.cvbankas.lt/lazeriniu-sistemu-inzinierius-e-vilniuje/1-9051969,1600-2500,Neatskaičius mokesčių,Vilniuje
UAB „Intrum Global Business Services“,prieš 12 d.,Project Coordinator (Global Project),https://www.cvbankas.lt/project-coordinator-global-project-vilniuje/1-9051849,1300-2200,Neatskaičius mokesčių,Vilniuje
UAB „Xirgo Global“,prieš 12 d.,Software/Firmware Engineer,https://www.cvbankas.lt/software-firmware-engineer-kaune/1-9051627,3300-5000,Neatskaičius mokesčių,Kaune
SEB,,Scrum master in Financing and Loans area at SEB in Vilnius,https://www.cvbankas.lt/scrum-master-in-financing-and-loans-area-at-seb-in-vilnius-vilniuje/1-9051685,3100-4700,Neatskaičius mokesčių,Vilniuje
Lietuvos centrinė kredito unija,prieš 12 d.,Programinės įrangos kūrimo skyriaus vadovas (-ė),https://www.cvbankas.lt/programines-irangos-kurimo-skyriaus-vadovas-e-kaune/1-9051655,3500-6000,Neatskaičius mokesčių,Kaune
Ignitis grupė,prieš 12 d.,IT ANALITIKAS (-Ė) (GAMYBOS IR VARTOJIMO DUOMENŲ BALANSŲ SISTEMA),https://www.cvbankas.lt/it-analitikas-e-gamybos-ir-vartojimo-duomenu-balansu-sistema-vilniuje/1-9051617,1675-2896,Neatskaičius mokesčių,Vilniuje
